user_id,exam_name,session_id,actual_mark
623ad09bfb492fa5df2dc9d4,Class 10 - Monthly MCQ Exam - February,67c56ad455f584a4862bff7c,27.5
623a4e7cfb492fa5df1515a9,Class 10 - Monthly MCQ Exam - February,67cd98fb1ca1a4ada7cc41e5,16.25
623ad09bfb492fa5df2dc9d4,Class 10 - Monthly MCQ Exam - March,67ee631c3db3b091e19c764f,26.25
623ad09bfb492fa5df2dc9d4,Class 10 - Weekly MCQ Exam - February 1,67b0800e64933092bedbb048,19
623a4e7cfb492fa5df1515a9,Class 10 - Weekly MCQ Exam - February 2,67bdcde591f4ff5af1c21924,3.75
623ad09bfb492fa5df2dc9d4,Class 10 - Weekly MCQ Exam - February 2,67b71d1447fb3e15caedd73d,26.25
623ad09bfb492fa5df2dc9d4,Class 10 - Weekly MCQ Exam - February 3,67bedf9bab4fa6fb453d5d07,22.5
623ad09bfb492fa5df2dc9d4,Class 10 - Weekly MCQ Exam - March 1,67cc74c739f16a3bca394821,13.25
623a4e7cfb492fa5df1515a9,Class 10 - Weekly MCQ Exam - March 1,67cd9fef0208aa19a3ad0975,18.75
623ad09bfb492fa5df2dc9d4,Class 10 - Weekly MCQ Exam - March 2,67d82d0bdbda27c9426c596e,20
623aac8dfb492fa5df282c3d,Class 10 - Weekly MCQ Exam - March 2,67d6d6eadbda27c9425d0c85,22.5
623ab3e3fb492fa5df295ca1,Monthly Exam 1 (MCQ),679f6b9a3fd0b19f66c9d6f3,20
623a42b2fb492fa5df11c4b7,Monthly Exam 1 (MCQ),67aedbbec60cb2109946bcb9,0
623a4e7cfb492fa5df1515a9,Monthly Exam 1 (MCQ),679f7ff5e96e087c8b77cfd8,1.25
623ad09bfb492fa5df2dc9d4,Monthly Exam 1 (MCQ),67a23dd3fecfa4470ddcf12d,16.25
623acd24fb492fa5df2d4517,Monthly Exam 1 (MCQ),679e1a1bf35973c9132f005a,13.75
623ad09bfb492fa5df2dc9d4,সাপ্তাহিক পরীক্ষা - ১,679a15fe37547cc9510ec8f2,7.5
623a4e7cfb492fa5df1515a9,সাপ্তাহিক পরীক্ষা - ১,67a0c05dfecfa4470dcf6cf3,7.5
623abc17fb492fa5df2aa99d,সাপ্তাহিক পরীক্ষা - ১,6794eb77ff05fd8a0857c1fe,15
623a48d2fb492fa5df138705,সাপ্তাহিক পরীক্ষা - ১,679e19c6d73629dd27e232b8,0
623ac604fb492fa5df2c30de,সাপ্তাহিক পরীক্ষা - ১,67965da156906aa99c888072,6.25
623a42b2fb492fa5df11c4b7,সাপ্তাহিক পরীক্ষা - ১,6794da9872f4e2568bd4861a,13.25
623acd24fb492fa5df2d4517,সাপ্তাহিক পরীক্ষা - ১,67962f3ed06783caddae32c7,17.5
